"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Car, truck, or van -- drove alone","South Carolina","1,649,097","±6,717","82.70%","±0.2",2013
"Car, truck, or van -- carpooled","South Carolina","188,896","±4,013","9.50%","±0.2",2013
"Public transportation (excluding taxicab)","South Carolina","11,605","±858","0.60%","±0.1",2013
"Walked","South Carolina","41,470","±1,490","2.10%","±0.1",2013
"Other means","South Carolina","31,359","±1,182","1.60%","±0.1",2013
"Worked at home","South Carolina","71,771","±2,163","3.60%","±0.1",2013
"Mean travel time to work (minutes)","South Carolina","23.5","±0.1","(X)","(X)",2013
"Workers 16 years and over","South Dakota","414,301","±2,368","414,301","(X)",2013
"Car, truck, or van -- drove alone","South Dakota","324,365","±2,606","78.30%","±0.4",2013
"Car, truck, or van -- carpooled","South Dakota","40,595","±1,225","9.80%","±0.3",2013
"Public transportation (excluding taxicab)","South Dakota","1,975","±317","0.50%","±0.1",2013
"Walked","South Dakota","17,428","±841","4.20%","±0.2",2013
"Other means","South Dakota","6,820","±581","1.60%","±0.1",2013
"Worked at home","South Dakota","23,118","±762","5.60%","±0.2",2013
"Mean travel time to work (minutes)","South Dakota","16.9","±0.2","(X)","(X)",2013
"Workers 16 years and over","Tennessee","2,757,174","±8,670","2,757,174","(X)",2013
"Car, truck, or van -- drove alone","Tennessee","2,307,937","±7,733","83.70%","±0.2",2013
"Car, truck, or van -- carpooled","Tennessee","264,891","±4,137","9.60%","±0.1",2013
"Public transportation (excluding taxicab)","Tennessee","21,776","±1,197","0.80%","±0.1",2013
"Walked","Tennessee","36,768","±1,473","1.30%","±0.1",2013
"Other means","Tennessee","30,383","±1,435","1.10%","±0.1",2013
"Worked at home","Tennessee","95,419","±2,328","3.50%","±0.1",2013
"Mean travel time to work (minutes)","Tennessee","24.3","±0.1","(X)","(X)",2013
"Workers 16 years and over","Texas","11,445,014","±16,566","11,445,014","(X)",2013
"Car, truck, or van -- drove alone","Texas","9,141,379","±17,223","79.90%","±0.1",2013
"Car, truck, or van -- carpooled","Texas","1,268,869","±12,754","11.10%","±0.1",2013
"Public transportation (excluding taxicab)","Texas","178,917","±3,129","1.60%","±0.1",2013
"Walked","Texas","188,304","±3,748","1.60%","±0.1",2013
"Other means","Texas","206,033","±4,041","1.80%","±0.1",2013
"Worked at home","Texas","461,512","±5,958","4.00%","±0.1",2013
"Mean travel time to work (minutes)","Texas","25","±0.1","(X)","(X)",2013
"Workers 16 years and over","Utah","1,259,283","±4,062","1,259,283","(X)",2013
"Car, truck, or van -- drove alone","Utah","960,764","±4,497","76.30%","±0.3",2013
"Car, truck, or van -- carpooled","Utah","148,778","±2,879","11.80%","±0.2",2013
"Public transportation (excluding taxicab)","Utah","29,718","±1,217","2.40%","±0.1",2013
"Walked","Utah","33,614","±1,308","2.70%","±0.1",2013
"Other means","Utah","25,658","±1,162","2.00%","±0.1",2013
"Worked at home","Utah","60,751","±1,638","4.80%","±0.1",2013
"Mean travel time to work (minutes)","Utah","21.4","±0.1","(X)","(X)",2013
"Workers 16 years and over","Vermont","316,127","±1,929","316,127","(X)",2013
"Car, truck, or van -- drove alone","Vermont","235,490","±2,047","74.50%","±0.5",2013
"Car, truck, or van -- carpooled","Vermont","31,500","±1,104","10.00%","±0.3",2013
"Public transportation (excluding taxicab)","Vermont","3,675","±429","1.20%","±0.1",2013
"Walked","Vermont","17,968","±782","5.70%","±0.2",2013
"Other means","Vermont","5,176","±397","1.60%","±0.1",2013
"Worked at home","Vermont","22,318","±849","7.10%","±0.3",2013
"Mean travel time to work (minutes)","Vermont","22.2","±0.2","(X)","(X)",2013
"Workers 16 years and over","Virginia","3,919,771","±8,698","3,919,771","(X)",2013
"Car, truck, or van -- drove alone","Virginia","3,033,055","±8,804","77.40%","±0.1",2013
"Car, truck, or van -- carpooled","Virginia","383,680","±5,213","9.80%","±0.1",2013
"Public transportation (excluding taxicab)","Virginia","174,338","±3,286","4.40%","±0.1",2013
"Walked","Virginia","93,447","±2,646","2.40%","±0.1",2013
"Other means","Virginia","57,263","±1,788","1.50%","±0.1",2013
"Worked at home","Virginia","177,988","±3,262","4.50%","±0.1",2013
"Mean travel time to work (minutes)","Virginia","27.7","±0.1","(X)","(X)",2013
"Workers 16 years and over","Washington","3,126,887","±7,247","3,126,887","(X)",2013
"Car, truck, or van -- drove alone","Washington","2,271,702","±6,717","72.70%","±0.2",2013
"Car, truck, or van -- carpooled","Washington","330,814","±4,896","10.60%","±0.1",2013
"Public transportation (excluding taxicab)","Washington","182,046","±3,027","5.80%","±0.1",2013
"Walked","Washington","109,051","±2,388","3.50%","±0.1",2013
"Other means","Washington","65,372","±1,836","2.10%","±0.1",2013
"Worked at home","Washington","167,902","±2,953","5.40%","±0.1",2013
"Mean travel time to work (minutes)","Washington","25.7","±0.1","(X)","(X)",2013
"Workers 16 years and over","West Virginia","738,386","±3,917","738,386","(X)",2013
"Car, truck, or van -- drove alone","West Virginia","605,879","±4,186","82.10%","±0.3",2013
"Car, truck, or van -- carpooled","West Virginia","76,339","±1,858","10.30%","±0.2",2013
"Public transportation (excluding taxicab)","West Virginia","5,810","±479","0.80%","±0.1",2013
"Walked","West Virginia","20,859","±979","2.80%","±0.1",2013
"Other means","West Virginia","7,184","±580","1.00%","±0.1",2013
"Worked at home","West Virginia","22,315","±1,076","3.00%","±0.1",2013
"Mean travel time to work (minutes)","West Virginia","25.5","±0.2","(X)","(X)",2013
"Workers 16 years and over","Wisconsin","2,792,190","±6,347","2,792,190","(X)",2013
"Car, truck, or van -- drove alone","Wisconsin","2,239,971","±6,764","80.20%","±0.2",2013
"Car, truck, or van -- carpooled","Wisconsin","246,658","±3,025","8.80%","±0.1",2013
"Public transportation (excluding taxicab)","Wisconsin","51,484","±1,479","1.80%","±0.1",2013
"Walked","Wisconsin","92,656","±1,948","3.30%","±0.1",2013
"Other means","Wisconsin","46,898","±1,501","1.70%","±0.1",2013
"Worked at home","Wisconsin","114,523","±1,838","4.10%","±0.1",2013
"Mean travel time to work (minutes)","Wisconsin","21.7","±0.1","(X)","(X)",2013
"Workers 16 years and over","Wyoming","286,750","±1,870","286,750","(X)",2013
"Car, truck, or van -- drove alone","Wyoming","219,680","±2,445","76.60%","±0.7",2013
"Car, truck, or van -- carpooled","Wyoming","32,012","±1,397","11.20%","±0.5",2013
"Public transportation (excluding taxicab)","Wyoming","4,827","±579","1.70%","±0.2",2013
"Walked","Wyoming","10,821","±753","3.80%","±0.3",2013
"Other means","Wyoming","5,978","±643","2.10%","±0.2",2013
"Worked at home","Wyoming","13,432","±964","4.70%","±0.3",2013
"Mean travel time to work (minutes)","Wyoming","18.3","±0.3","(X)","(X)",2013
"Workers 16 years and over","Puerto Rico","1,057,020","±5,633","1,057,020","(X)",2013
"Car, truck, or van -- drove alone","Puerto Rico","843,815","±5,442","79.80%","±0.3",2013
"Car, truck, or van -- carpooled","Puerto Rico","101,516","±2,595","9.60%","±0.2",2013
"Public transportation (excluding taxicab)","Puerto Rico","28,873","±1,101","2.70%","±0.1",2013
"Walked","Puerto Rico","37,377","±1,265","3.50%","±0.1",2013
"Other means","Puerto Rico","21,827","±1,050","2.10%","±0.1",2013
"Worked at home","Puerto Rico","23,612","±993","2.20%","±0.1",2013
"Mean travel time to work (minutes)","Puerto Rico","29.5","±0.2","(X)","(X)",2013
"Workers 16 years and over","Alabama","1,988,366","±6,310","1,988,366","(X)",2012
"Car, truck, or van -- drove alone","Alabama","1,675,604","±7,144","84.30%","±0.2",2012
"Car, truck, or van -- carpooled","Alabama","208,127","±3,783","10.50%","±0.2",2012
"Public transportation (excluding taxicab)","Alabama","8,842","±645","0.40%","±0.1",2012
"Walked","Alabama","23,738","±1,177","1.20%","±0.1",2012
"Other means","Alabama","20,543","±929","1.00%","±0.1",2012
"Worked at home","Alabama","51,512","±1,636","2.60%","±0.1",2012
"Mean travel time to work (minutes)","Alabama","24.1","±0.1","(X)","(X)",2012
"Workers 16 years and over","Alaska","345,577","±2,418","345,577","(X)",2012
"Car, truck, or van -- drove alone","Alaska","232,573","±2,569","67.30%","±0.5",2012
"Car, truck, or van -- carpooled","Alaska","45,697","±1,588","13.20%","±0.5",2012
"Public transportation (excluding taxicab)","Alaska","5,301","±556","1.50%","±0.2",2012
"Walked","Alaska","25,888","±1,107","7.50%","±0.3",2012
"Other means","Alaska","17,793","±770","5.10%","±0.2",2012
"Worked at home","Alaska","18,325","±1,051","5.30%","±0.3",2012
"Mean travel time to work (minutes)","Alaska","18.6","±0.2","(X)","(X)",2012
"Workers 16 years and over","Arizona","2,694,999","±7,656","2,694,999","(X)",2012
"Car, truck, or van -- drove alone","Arizona","2,049,969","±8,321","76.10%","±0.2",2012
"Car, truck, or van -- carpooled","Arizona","319,096","±5,918","11.80%","±0.2",2012
"Public transportation (excluding taxicab)","Arizona","52,922","±2,072","2.00%","±0.1",2012
"Walked","Arizona","57,013","±2,034","2.10%","±0.1",2012
"Other means","Arizona","69,520","±2,223","2.60%","±0.1",2012
"Worked at home","Arizona","146,479","±3,123","5.40%","±0.1",2012
"Mean travel time to work (minutes)","Arizona","24.6","±0.1","(X)","(X)",2012
"Workers 16 years and over","Arkansas","1,232,938","±5,389","1,232,938","(X)",2012
"Car, truck, or van -- drove alone","Arkansas","1,006,273","±5,131","81.60%","±0.3",2012
"Car, truck, or van -- carpooled","Arkansas","141,798","±3,440","11.50%","±0.3",2012
"Public transportation (excluding taxicab)","Arkansas","5,439","±495","0.40%","±0.1",2012
"Walked","Arkansas","22,306","±1,102","1.80%","±0.1",2012
"Other means","Arkansas","16,471","±955","1.30%","±0.1",2012
"Worked at home","Arkansas","40,651","±1,291","3.30%","±0.1",2012
"Mean travel time to work (minutes)","Arkansas","21.3","±0.1","(X)","(X)",2012
"Workers 16 years and over","California","16,282,943","±22,120","16,282,943","(X)",2012
"Car, truck, or van -- drove alone","California","11,894,644","±20,155","73.00%","±0.1",2012
"Car, truck, or van -- carpooled","California","1,877,683","±15,054","11.50%","±0.1",2012
"Public transportation (excluding taxicab)","California","837,820","±7,570","5.10%","±0.1",2012
"Walked","California","449,779","±5,748","2.80%","±0.1",2012
"Other means","California","383,857","±4,370","2.40%","±0.1",2012
"Worked at home","California","839,160","±7,430","5.20%","±0.1",2012
"Mean travel time to work (minutes)","California","27.1","±0.1","(X)","(X)",2012
"Workers 16 years and over","Colorado","2,481,269","±6,494","2,481,269","(X)",2012
"Car, truck, or van -- drove alone","Colorado","1,850,845","±6,550","74.60%","±0.2",2012
"Car, truck, or van -- carpooled","Colorado","252,066","±3,727","10.20%","±0.1",2012
"Public transportation (excluding taxicab)","Colorado","80,763","±2,138","3.30%","±0.1",2012
"Walked","Colorado","75,896","±2,242","3.10%","±0.1",2012
"Other means","Colorado","61,395","±2,023","2.50%","±0.1",2012
"Worked at home","Colorado","160,304","±3,121","6.50%","±0.1",2012
"Mean travel time to work (minutes)","Colorado","24.4","±0.1","(X)","(X)",2012
"Workers 16 years and over","Connecticut","1,730,076","±5,634","1,730,076","(X)",2012
"Car, truck, or van -- drove alone","Connecticut","1,362,328","±5,452","78.70%","±0.2",2012
"Car, truck, or van -- carpooled","Connecticut","146,721","±3,182","8.50%","±0.2",2012
"Public transportation (excluding taxicab)","Connecticut","78,653","±2,063","4.50%","±0.1",2012
"Walked","Connecticut","50,900","±1,683","2.90%","±0.1",2012
"Other means","Connecticut","20,663","±1,016","1.20%","±0.1",2012
"Worked at home","Connecticut","70,811","±2,091","4.10%","±0.1",2012
"Mean travel time to work (minutes)","Connecticut","24.8","±0.1","(X)","(X)",2012
"Workers 16 years and over","Delaware","416,699","±2,468","416,699","(X)",2012
"Car, truck, or van -- drove alone","Delaware","333,953","±2,929","80.10%","±0.6",2012
"Car, truck, or van -- carpooled","Delaware","39,336","±1,705","9.40%","±0.4",2012
"Public transportation (excluding taxicab)","Delaware","13,522","±812","3.20%","±0.2",2012
"Walked","Delaware","9,388","±779","2.30%","±0.2",2012
"Other means","Delaware","5,469","±594","1.30%","±0.1",2012
"Worked at home","Delaware","15,031","±822","3.60%","±0.2",2012
"Mean travel time to work (minutes)","Delaware","24.8","±0.3","(X)","(X)",2012
"Workers 16 years and over","District of Columbia","306,336","±2,204","306,336","(X)",2012
"Car, truck, or van -- drove alone","District of Columbia","106,377","±1,917","34.70%","±0.7",2012
"Car, truck, or van -- carpooled","District of Columbia","19,114","±1,152","6.20%","±0.4",2012
"Public transportation (excluding taxicab)","District of Columbia","115,796","±2,611","37.80%","±0.7",2012
"Walked","District of Columbia","37,055","±1,392","12.10%","±0.5",2012
"Other means","District of Columbia","13,059","±701","4.30%","±0.2",2012
"Worked at home","District of Columbia","14,935","±855","4.90%","±0.3",2012
"Mean travel time to work (minutes)","District of Columbia","29.6","±0.3","(X)","(X)",2012
"Workers 16 years and over","Florida","8,107,476","±14,588","8,107,476","(X)",2012
"Car, truck, or van -- drove alone","Florida","6,443,859","±17,190","79.50%","±0.1",2012
"Car, truck, or van -- carpooled","Florida","812,223","±9,377","10.00%","±0.1",2012
"Public transportation (excluding taxicab)","Florida","164,698","±3,705","2.00%","±0.1",2012
"Walked","Florida","126,718","±3,391","1.60%","±0.1",2012
"Other means","Florida","180,556","±3,884","2.20%","±0.1",2012
"Worked at home","Florida","379,422","±4,488","4.70%","±0.1",2012
"Mean travel time to work (minutes)","Florida","25.8","±0.1","(X)","(X)",2012
"Workers 16 years and over","Georgia","4,234,475","±11,349","4,234,475","(X)",2012
"Car, truck, or van -- drove alone","Georgia","3,343,739","±10,556","79.00%","±0.2",2012
"Car, truck, or van -- carpooled","Georgia","465,096","±5,736","11.00%","±0.1",2012
"Public transportation (excluding taxicab)","Georgia","92,062","±2,617","2.20%","±0.1",2012
"Walked","Georgia","65,828","±2,308","1.60%","±0.1",2012
"Other means","Georgia","70,600","±2,658","1.70%","±0.1",2012
"Worked at home","Georgia","197,150","±3,598","4.70%","±0.1",2012
"Mean travel time to work (minutes)","Georgia","27","±0.1","(X)","(X)",2012
"Workers 16 years and over","Hawaii","665,358","±2,953","665,358","(X)",2012
"Car, truck, or van -- drove alone","Hawaii","440,342","±3,463","66.20%","±0.4",2012
"Car, truck, or van -- carpooled","Hawaii","99,501","±2,819","15.00%","±0.4",2012
"Public transportation (excluding taxicab)","Hawaii","41,700","±1,427","6.30%","±0.2",2012
"Walked","Hawaii","31,274","±1,493","4.70%","±0.2",2012
"Other means","Hawaii","21,500","±1,215","3.20%","±0.2",2012
"Worked at home","Hawaii","31,041","±1,390","4.70%","±0.2",2012
"Mean travel time to work (minutes)","Hawaii","25.8","±0.2","(X)","(X)",2012
"Workers 16 years and over","Idaho","687,321","±3,506","687,321","(X)",2012
"Car, truck, or van -- drove alone","Idaho","527,758","±3,313","76.80%","±0.4",2012
"Car, truck, or van -- carpooled","Idaho","74,210","±2,149","10.80%","±0.3",2012
"Public transportation (excluding taxicab)","Idaho","6,160","±538","0.90%","±0.1",2012
"Walked","Idaho","21,278","±1,170","3.10%","±0.2",2012
"Other means","Idaho","18,812","±973","2.70%","±0.1",2012
"Worked at home","Idaho","39,103","±1,392","5.70%","±0.2",2012
"Mean travel time to work (minutes)","Idaho","20.1","±0.2","(X)","(X)",2012
"Workers 16 years and over","Illinois","5,926,796","±11,129","5,926,796","(X)",2012
"Car, truck, or van -- drove alone","Illinois","4,354,494","±11,279","73.50%","±0.1",2012
"Car, truck, or van -- carpooled","Illinois","532,322","±5,855","9.00%","±0.1",2012
"Public transportation (excluding taxicab)","Illinois","516,053","±4,308","8.70%","±0.1",2012
"Walked","Illinois","185,519","±3,745","3.10%","±0.1",2012
"Other means","Illinois","96,859","±2,388","1.60%","±0.1",2012
"Worked at home","Illinois","241,549","±2,935","4.10%","±0.1",2012
"Mean travel time to work (minutes)","Illinois","28.1","±0.1","(X)","(X)",2012
"Workers 16 years and over","Indiana","2,923,571","±8,694","2,923,571","(X)",2012
"Car, truck, or van -- drove alone","Indiana","2,422,427","±8,025","82.90%","±0.2",2012
